"Name","Desc","Category","Secret","Sources","Kind","Count"
"Life, uh... finds a way","Complete the Geneticist objective and Medical Director objective of having at least 5 people scanned in the Clone Console. Cloning people does remove them from the list of people scanned, so it would be in good practice to scan anyone that is cloned.","Goon","no","Goonstation","achievement","1"
"Licensed Archaeologist","Complete the Scientist or Research Director objective of activating 10 artifacts in a single shift.","Goon","no","Goonstation","achievement","1"
"Manhattan Project","Successfully destroy the station with a nuclear detonation as a Nuclear Operative","Goon","no","Goonstation","achievement","1"
"Man with a Scan","Complete the Engineer objective of having 10 or more objects scanned in the ruckingeur kit.","Goon","no","Goonstation","achievement","1"
"Many names, many faces","As a Changeling, complete the Changeling objective""Absorb the DNA of at least [absorb_count] more crew members in addition to the one you started with, and escape on the shuttle alive.""","Goon","no","Goonstation","achievement","1"
"Meth is a hell of a drug","Complete the Scientist objective and Research Director objective of ending the round with methamphetamine in your system.","Goon","no","Goonstation","achievement","1"
"Misclick","Pry up a floor tile from some flooring using a crowbar; this is specifically for intact flooring, so you can't get this by removing burnt or broken tiles. The joke is that people fighting with crowbars often miss and target the floor instead of their opponent, accidentally prying floor tiles instead of the other person's face.","Goon","no","Goonstation","achievement","1"
"MISSION COMPLETE","As an Antagonist complete your objectives.","Goon","no","Goonstation","achievement","1"
"Monkey Duty","Complete the ""Keep Monsieur Stirstir brigged but also make sure that he comes to absolutely no harm"" Security Officer, Security Assistant, and Head of Security objective. This is quite difficult to do as monkeys tend to use tables to flip into walls and other objects. It would be best to check on Stirstir regularly and make sure they aren't hurt and haven't been taken or murdered by a Traitor.","Goon","no","Goonstation","achievement","1"
"Mostly Armless","When the round ends, you need to be at Central Command/CentCom with both your arms missing. You need to be playing a human to earn this one; while you can wind up a cyborg without any arms at round-end, it won't get you this medal.","Goon","no","Goonstation","achievement","1"
"Neither fashionable noir stylish","Complete the Detective objective of wearing your coat, hat, and uniform at the end of the round.","Goon","no","Goonstation","achievement","1"
"Noah's Shuttle","Have 7 station pets on the shuttle when it arrives at Central Command. Station pets include pretty much every Critter(i.e. no monkeys) that has a name, e.g. Heisenbee, Sylvester, Jones the Cat, ""jons the catte"", the Pool space seals--basically, if the end of round stats mentions they escaped on the shuttle at the end, it counts towards this medal. Pets from Pet Person do not count for this.","Goon","no","Goonstation","achievement","1"
"On My Own Two (Space) Legs","Complete the in-game tutorial, meaning the one you enter by clicking the Play Tutorial button in the server's lobby. More specifically, you need to kill the NPC clown at the end.","Goon","no","Goonstation","achievement","1"
"OW! MY BALLS!","Some places just can't take the pain. Get groin-punched by Senator Death Badman as a result of ingesting mimicillium.","Goon","no","Goonstation","achievement","1"
"Party Hard","Die next to a tube of (deployed) neon lining or with a glowstick(any kind) in your inventory while drunk. Any level of drunkenness is fine.","Goon","no","Goonstation","achievement","1"
"Patchwork","Complete the Medical Doctor objective and Medical Director objective of having used ten or more medical patches on injured people in a single round. A person is only counted as injured if their health is below 90%. Patches applied to yourself don't count.","Goon","no","Goonstation","achievement","1"
"Primordial","Complete the Staff Assistant objective of escaping on the escape shuttle as a monkey. This can easily be achieved by going to Genetics and requesting they turn you into a one.","Goon","no","Goonstation","achievement","1"
"Primum non nocere","Complete the Medical Doctor objective and Medical Director objective of not preforming a single violent act the entire round. This means that you cannot punch, use a weapon, or shoot anyone even if it is in self defense. You can still disarm and grab people without breaking your oath.","Goon","no","Goonstation","achievement","1"
"Professional Thief","As Spy Thief, complete your "" Steal at least X items in total via your uplink."" objective.","Goon","no","Goonstation","achievement","1"
"Progenitor","Complete the Roboticist Doctor objective and Medical Director objective of having at least three living Cyborgs at the end of the round.","Goon","no","Goonstation","achievement","1"
"Puerile humour","Complete the Roboticist objective and Medical Director objective of having at least five buttbots on station at the end of the round. Getting you hands on butts should be easy considering that some Staff Assistants will sometimes come to you for this.","Goon","no","Goonstation","achievement","1"
"Quit Cloning Around","Acquire more than 7 cloner defects, which means getting cloned multiple times. ""Diminishing reruns"" indeed...","Goon","no","Goonstation","achievement","1"
"Red Hood","There are two ways to earn this. The first is to get your head cut off through surgery. Getting decapitated via a katana or a suicide doesn't count. The second is to get your face disfigured due to mixing fluorosulfuric acid without a proper mask on or getting splashed with any of the various acids or grog.","Goon","no","Goonstation","achievement","1"
"Reefer Madness","Complete the Botanist objective of having no Cannabis plants, seeds, or products inside botany at the end of the round. This does in fact have the obvious loop hole that you can simply grow and store your cannabis elsewhere on station or just move it all at the end of the round.","Goon","no","Goonstation","achievement","1"
"Reserved Parking","Have the emergency shuttle land on you. You can't be in a pod, locker, or anything else that might protect you, meaning that you'll get gibbed by being squished.","Goon","no","Goonstation","achievement","1"
"Shit Fest","Blow yourself up with Empowered High-Pressure Intestines.","Goon","no","Goonstation","achievement","1"
"Shit for brains","Complete the Staff Assistant objective of having your own butt on your head when you escape on the shuttle. A safe bet for having your butt removed is usually visiting Robotics though they may want it for reasons.","Goon","no","Goonstation","achievement","1"
"Silent Running","Complete the Roboticist objective and Medical Director objective of having at least five Medibots on station at the end of the round. This does include the Medibot named "" Head Surgeon"" that sometimes can be seen in Medbay.","Goon","no","Goonstation","achievement","1"
"Slow Burn","Complete the Chief Engineer and Engineer objective of having all furnaces on station running. Furnaces can be found in Engineering and sometimes the Sauna depending on the map.","Goon","no","Goonstation","achievement","1"
"Smooth Operator","Complete the Medical Doctor objective and Medical Director objective of being completely unharmed when the escape shuttle leaves for Central Command.","Goon","no","Goonstation","achievement","1"
"Spotless","Complete the one of the Janitor objectives of keeping the Bar, Brig, or Medbay completely clean with no blood, gibs, oil, or other messes staining the floor at the end of the round.","Goon","no","Goonstation","achievement","1"
"Suitable? How about the Oubliette?!","Stuff someone down a brig chute.","Goon","no","Goonstation","achievement","1"
"Tax Haven","Complete the Quartermaster objective of accumulating a budget of 100K credits. This ranges from easy to difficult depending of how savvy you and your fellow QMs are with purchases and exports, how often you need to make purchases, and randomly stumbling upon high value items such as starstone or stamped gold bullion","Goon","no","Goonstation","achievement","1"
"Territorial Defender","As a Space Phoenix, complete all your objectives.","Goon","no","Goonstation","achievement","1"
"That tasted funny","Eat a dish with manmeat that came from a Clown. Get it, honk honk? Alternatively, as a Werewolf, consume a Clown via the Maul victim ability.","Goon","no","Goonstation","achievement","1"
"The mail always goes through","Complete the Staff Assistant and Technical Trainee objective of ""Escape on the shuttle alive wearing at least one piece of mail courier clothing."" This can be gotten by asking Cargo Bay if they have any mail/postmaster clothes, bugging a Mail Courier for their clothes, or finding it elsewhere.","Goon","no","Goonstation","achievement","1"
"The Syndicate Connection","Complete the Traitor objective of rescuing Monsieur StirStir, the monkey wearing an orange beret and orange prisoner jumpsuit, from the brig and making sure they escape alive on the shuttle. This objective is complicated by the fact other traitors could have a conflicting objective.","Goon","no","Goonstation","achievement","1"
"This object menaces with spikes of...","Make a custom mining tool with a Mining Power of at least 600. Doesn't matter which type of tool or materials used, just get it high as you can!","Goon","no","Goonstation","achievement","1"
"This station is ours!","As a head revolutionary, live to see your revolution come to a success!","Goon","no","Goonstation","achievement","1"
"Through the fire and flames","We carry on! While the name references the hit DragonForce song, getting this medal is much more mundane than its name or image might suggest. While on fire, you need to stop, drop, and roll by pressing the RESIST button on your HUD (Hotkey: Z for Goon WASD, C for /tg/style WASD). Clicking on the Burning status effect icon will attempt to make you do this automatically.","Goon","no","Goonstation","achievement","1"
"Tipsy","Complete the Detective objective of having ethanol in your system at the end of the round.","Goon","no","Goonstation","achievement","1"
"To the stars","As a Flockmind or Flocktrace who has been in the Flock some time, successfully transmit the Signal.","Goon","no","Goonstation","achievement","1"
"Too Cool","Win one of the contests that occur on the forums. There used to be a contest every month, but now they're held basically whenever the admins feel like it. They usually announce these contests, and the window to submit entries usually lasts at least a week or more, so you don't have to worry about missing out if you check on the forums every so often.","Goon","no","Goonstation","achievement","1"
"Too Fast Too Furious","Activate rocket shoes while on a wheelchair, like in that gif. This kills you.","Goon","no","Goonstation","achievement","1"
"Unlike the director, I went to college","Have your Clown Application approved on the forums or have a clown that has claimed the reward willingly give you a diploma.","Goon","no","Goonstation","achievement","1"
"Unperson","Complete the Head of Personnel objective of being alive but not being on the station or escape level at the end of the round. This means you must be in either the Debris field, Mining level, Trench, or any adventure zone. Z-level","Goon","no","Goonstation","achievement","1"
"Untapped Potential","Complete the Traitor objective of killing all other antagonists","Goon","no","Goonstation","achievement","1"
"Vacuum Sealed","Complete the Staff Assistant objective of having a space suit in your inventory or be wearing it. NOTE:Diving suits also count as space suits for this medal.","Goon","no","Goonstation","achievement","1"
"Vehicular Manslaughter","Drive a Space Pod/ minisub/ car into someone and do enough damage that they enter critical condition, which is when they hit below 0 health and start dying. While ""manslaughter"" means the victim died (accidentally), the victim does not actually have to die for this to be earned.","Goon","no","Goonstation","achievement","1"
"We didn't start the fire","Complete the Scientist objective and Research Director objective of ensuring that there are no burnt floors in Chemistry. Any tiles that happened to be burned by foolishness can easily be fixed with Crowbar and some floor tiles if you are feeling fancy.","Goon","no","Goonstation","achievement","1"
"What's this box doing here?","Complete the Staff Assistant objective and Medical Director objective of ensuring Head Surgeon, the Medibot/ cardboard box/Medibot in a cardboard box, escapes on the shuttle. The bot is normally found in Medbay.","Goon","no","Goonstation","achievement","1"
"Where's the smoking gun?","Complete the Detective objective of smoking a cigarette at the end of the round.","Goon","no","Goonstation","achievement","1"
"Where we're going, we won't need eyes to see","Complete the Scientist objective and Research Director objective""Create a portal to the void"".","Goon","no","Goonstation","achievement","1"
"Yield","That is, yield to death. While dying, use the succumb command; you enter this via the text parser/command bar on the bottom. If you were dying because you used the suicide command earlier, it doesn't count.","Goon","no","Goonstation","achievement","1"
"You're a mean one...","As a Grinch complete your objectives.","Goon","no","Goonstation","achievement","1"
"You're no Elminster!","As a Wizard complete your objectives.","Goon","no","Goonstation","achievement","1"
"100M dash","Time for beer.","Secret","yes","Goonstation","achievement","1"
"421","None","Secret","yes","Goonstation","achievement","1"
":10bux:","Entrusted with the secret.","Secret","yes","Goonstation","achievement","1"
"A Holly Jolly Spacemas","Spent your Spacemas being beaten to death with toolboxes.","Secret","yes","Goonstation","achievement","1"
"Adjutant Online","Good morning, Captain.","Secret","yes","Goonstation","achievement","1"
"Banned","Heinous villainy.","Secret","yes","Goonstation","achievement","1"
"Bear Hug","None","Secret","yes","Goonstation","achievement","1"
"Bombini is Missing!","None","Secret","yes","Goonstation","achievement","1"
"Button Pusher","Seriously?","Secret","yes","Goonstation","achievement","1"
"Captain's Log","None","Secret","yes","Goonstation","achievement","1"
"Chevalier du Sorbet","Deliver the Magma King his Just Desserts","Secret","yes","Goonstation","achievement","1"
"Deep Freeze","it is absolutely famished...","Secret","yes","Goonstation","achievement","1"
"Format Complete","AI, what are your current laws?","Secret","yes","Goonstation","achievement","1"
"Go away! 'Batin!","Frito Pendejo, public defender.","Secret","yes","Goonstation","achievement","1"
"Goo Gone","It's Good for the Gander","Secret","yes","Goonstation","achievement","1"
"Guerrier Du Gelato","Complete Chapter II","Secret","yes","Goonstation","achievement","1"
"Helios","Just havin' a good time, chillin' out.","Secret","yes","Goonstation","achievement","1"
"He's dead, Jim","Bones.","Secret","yes","Goonstation","achievement","1"
"Icarus","Flew too close!","Secret","yes","Goonstation","achievement","1"
"Identity Theft","Good thing these are not laminated.","Secret","yes","Goonstation","achievement","1"
"I just cleaned that!","Slip 'n slide.","Secret","yes","Goonstation","achievement","1"
"I Spy","I spy with my little eye.","Secret","yes","Goonstation","achievement","1"
"Illuminated","Old-school chemist's club.","Secret","yes","Goonstation","achievement","1"
"Is it really that time again?","Gordon would approve.","Secret","yes","Goonstation","achievement","1"
"It'sa me, Mario","None","Secret","yes","Goonstation","achievement","1"
"IT'S A TRAP","BANG, bang!","Secret","yes","Goonstation","achievement","1"
"It's not easy being green","Your muscles hurt.","Secret","yes","Goonstation","achievement","1"
"Leave no man behind!","The ultimate sacrifice.","Secret","yes","Goonstation","achievement","1"
"Lock Block","Made friends with a welder.","Secret","yes","Goonstation","achievement","1"
"Master of Unlocking","Performed the steps required to unlock the Good Ending from the solarium riddle.","Secret","yes","Goonstation","achievement","1"
"My Bologna Has A First Name","And it's O-NO HELP GET IT OFF GET IT OFF AAA","Secret","yes","Goonstation","achievement","1"
"Nero","Watching the world burn.","Secret","yes","Goonstation","achievement","1"
"Newton's Crew","Stare into the sun.","Secret","yes","Goonstation","achievement","1"
"Oh, Doctor!","Just the spot.","Secret","yes","Goonstation","achievement","1"
"Ol' buddy ol' pal","I really admire how you stack the odds against yourself! Yeah, make things challenging!","Secret","yes","Goonstation","achievement","1"
"Old Enemy","Tensions between Nanotrasen and the Syndicate are reaching a boiling point.","Secret","yes","Goonstation","achievement","1"
"One Armed Bandit","None","Secret","yes","Goonstation","achievement","1"
"On My Own (Eight) Space Legs","Why do something yourself when someone else will happily do it for you?","Secret","yes","Goonstation","achievement","1"
"Original Sin","Take a bite","Secret","yes","Goonstation","achievement","1"
"Remember to Wash Behind the Antennae","None","Secret","yes","Goonstation","achievement","1"
"Rookie Thief","Bzzt.","Secret","yes","Goonstation","achievement","1"
"Sheesh!","None","Secret","yes","Goonstation","achievement","1"
"Shut Up and Jam","The year is 2041.","Secret","yes","Goonstation","achievement","1"
"Spaceship of Theseus","Despite all that, you're still in the same boat.","Secret","yes","Goonstation","achievement","1"
"Space Ham","Porky.","Secret","yes","Goonstation","achievement","1"
"Spamhaus","Hi","Secret","yes","Goonstation","achievement","1"
"Survivor","Time for counseling?","Secret","yes","Goonstation","achievement","1"
"Suspicious Character","Just who was that man, with the plan?","Secret","yes","Goonstation","achievement","1"
"Thank You, Bus Driver!","It never hurts to be polite!","Secret","yes","Goonstation","achievement","1"
"That's no moon, that's a GOURMAND!","None","Secret","yes","Goonstation","achievement","1"
"The Force is strong with this one","*fwissshhhhhh*","Secret","yes","Goonstation","achievement","1"
"Tinkerer","None","Secret","yes","Goonstation","achievement","1"
"Trail of Blood","You have successfully solved the rather intriguing case of your family inheritance, enjoy your reward.","Secret","yes","Goonstation","achievement","1"
"Try jiggling the handle","None","Secret","yes","Goonstation","achievement","1"
"Virtual Ascension","None","Secret","yes","Goonstation","achievement","1"
"Weird Science","That's gross! That's sick! I am not digging up dead girls!","Secret","yes","Goonstation","achievement","1"
"Wonk","Owl always love you","Secret","yes","Goonstation","achievement","1"
"Wrath of the Father","None","Secret","yes","Goonstation","achievement","1"
